iter	Passed	Remaining
0	4	425
1	8	412
2	11	374
3	13	330
4	16	315
5	20	315
6	23	316
7	26	307
8	30	308
9	33	305
10	37	301
11	40	296
12	43	290
13	46	284
14	53	303
15	57	302
16	61	300
17	65	297
18	68	292
19	71	287
20	74	281
21	80	285
22	83	280
23	87	275
24	90	272
25	94	269
26	97	264
27	101	260
28	105	258
29	109	255
30	112	250
31	115	245
32	119	241
33	123	239
34	126	235
35	129	230
36	133	227
37	137	224
38	140	220
39	144	216
40	147	212
41	149	206
42	153	203
43	156	198
44	159	194
45	172	202
46	176	198
47	179	194
48	183	190
49	186	186
50	189	182
51	193	178
52	196	174
53	200	170
54	202	165
55	205	161
56	209	157
57	213	154
58	216	150
59	219	146
60	222	141
61	224	137
62	230	135
63	233	131
64	236	127
65	239	123
66	243	119
67	246	116
68	251	112
69	258	110
70	263	107
71	267	103
72	270	99
73	274	96
74	277	92
75	280	88
76	284	84
77	288	81
78	291	77
79	294	73
80	298	70
81	305	66
82	307	63
83	310	59
84	313	55
85	317	51
86	320	47
87	324	44
88	327	40
89	332	36
90	335	33
91	338	29
92	342	25
93	345	22
94	349	18
95	352	14
96	356	11
97	361	7
98	365	3
99	369	0
